epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.007,1.13783,1.42272,1.23912,0.71866,0.34278,0.37377,0.22417,1.14081,1.01652,1.21406,0.000158275,0.000158275,0.000158275
2,573.941,1.19051,1.07119,1.26484,0.68187,0.35599,0.38175,0.2259,1.19543,1.02888,1.24963,0.000285564,0.000285564,0.000285564
3,842.454,1.19951,1.04703,1.27135,0.73625,0.33723,0.38238,0.22978,1.19596,1.03273,1.26361,0.000381438,0.000381438,0.000381438
4,1102.54,1.17216,0.98183,1.25201,0.54192,0.3789,0.39897,0.24138,1.16851,0.96051,1.25015,0.000334628,0.000334628,0.000334628
5,1368.8,1.11658,0.90152,1.22009,0.57015,0.42342,0.43706,0.26937,1.11633,0.88076,1.21559,0.000287504,0.000287504,0.000287504
6,1633.93,1.06955,0.8337,1.18861,0.51533,0.47544,0.47352,0.29601,1.06984,0.79588,1.17258,0.00024038,0.00024038,0.00024038
7,1896.49,1.02729,0.77149,1.16221,0.65665,0.45272,0.49945,0.3069,1.02962,0.75471,1.14785,0.000193256,0.000193256,0.000193256
8,2160.04,0.98878,0.71669,1.13623,0.63156,0.49183,0.5233,0.33383,1.00023,0.71423,1.12889,0.000146132,0.000146132,0.000146132
9,2422.44,0.9477,0.66316,1.11081,0.62872,0.52619,0.54386,0.34724,0.97197,0.6743,1.11166,9.9008e-05,9.9008e-05,9.9008e-05
10,2691.34,0.91019,0.61749,1.08613,0.70021,0.51862,0.57025,0.36706,0.94998,0.64212,1.09766,5.1884e-05,5.1884e-05,5.1884e-05
